Query ID,Query,Category,Subcategory,Jenjang,Cabang,P@1,P@3,P@5,R@1,R@3,R@5,Sangat Relevan,Cukup Relevan,Tidak Relevan,Time (s),Error
Q-A01,Berapa jumlah SMA ,informasi,informasi,SMA,kosong,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,3,0.6539,
Q-A02,Rincian biaya masuk SD Islam Al Azhar 1 Kebayoran Baru tahun 2026–2027 apa saja?,biaya_sekolah,biaya_masuk,SD,Al Azhar 1 Kebayoran Baru,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,3,0,0,0.2347,
Q-A03,Berapa biaya pendidikan TK Islam Al Azhar 17 Bintaro tahun 2026?,biaya_sekolah,biaya_pendidikan,TK,Al Azhar 17 Bintaro,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,3,0,0,0.2010,
Q-A04,Berapa total biaya sekolah,biaya_sekolah,total_biaya,TK,Al Azhar 2 Pasar Minggu,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.2059,
Q-A05,Biaya pendidikan TK Islam Al Azhar 51 Sidoarjo tahun ajaran 2026 berapa?,biaya_sekolah,biaya_pendidikan,TK,Al Azhar 51 Sidoarjo,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.2123,
Q-A06,Berapa biaya masuk TK Islam Al Azhar 6 Sentra Primer tahun 2026–2027?,biaya_sekolah,biaya_masuk,TK,Al Azhar 6 Sentra Primer,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,3,0,0,0.2070,
Q-A07,Rincian biaya SMP Islam Al Azhar tahun 2026 apa saja?,biaya_sekolah,rincian_biaya,SMP,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,1,2,0,0.1924,
Q-A08,Berapa biaya penerimaan murid baru SD Islam Al Azhar 36 Bandung?,biaya_sekolah,biaya_pmb,SD,Al Azhar 36 Bandung,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.1815,
Q-A09,Apa saja komponen biaya sekolah SD Al Azhar 27 Cibinong?,biaya_sekolah,komponen_biaya,SD,Al Azhar 27 Cibinong,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.1943,
Q-A10,Biaya tahunan SD Al Azhar Kebayoran Baru tahun 2026 berapa?,biaya_sekolah,biaya_tahunan,SD,Al Azhar Kebayoran Baru,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.1982,
Q-A11,Berapa uang sekolah per bulan TK Al Azhar 17 Bintaro?,biaya_sekolah,spp_bulanan,TK,Al Azhar 17 Bintaro,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,1,2,0,0.2142,
Q-A12,Biaya pendidikan TK Al Azhar Pasar Minggu meliputi apa saja?,biaya_sekolah,komponen_biaya,TK,Al Azhar Pasar Minggu,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,2,1,0,0.2455,
Q-A13,Apakah biaya TK Al Azhar JAWAB BARAT sudah termasuk seragam?,biaya_sekolah,inklusif_biaya,TK,JAWAB BARAT,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.2337,
Q-A14,Rincian biaya SMP Al Azhar tahun ajaran terbaru?,biaya_sekolah,rincian_biaya,SMP,Umum,1.0000,1.0000,0.6000,0.3333,1.0000,1.0000,0,3,0,0.1890,
